person,count,pgpid
druggist to Abū Saʿīd,2,
complaining about Abu Sa'id,2,
waraq mentioning Abu Sa'id,2,
of what Abu Sa'id,2,
) to Abū Saʿīd,2,
brother (Abū Saʿīd,2,
your brother Abū Saʿīd,2,
Nisaburi to Abū Saʿīd,2,
Muʿallim to Abū Saʿīd,2,
Khayr and Abū Saʿīd,2,
Alexandria to Abu Sa'id,2,
Yaʿaqov and Abu Sa'id,2,
Husayn and Abu Sa'id,2,
Fustat. Abū Saʿīd,2,
seems that Abu Saʿid,2,
"."" Abū Saʿīd",2,
alive. Abū Saʿīd,2,
the bridegroom Abu Sa'id,2,
Elijah to Abū Saʿīd,2,
and mentioning Abū Saʿīd,2,
perfumer to Abū Saʿīd,2,
to pay Abū Saʿid,2,
Isḥāq; Abū Sa'īd,2,
kunya (Abū Saʿīd,2,
wife of Abū Saʿīd,2,
"’, Abū Saʿīd",2,
"Bundār, Abū Saʿīd",2,
Nufayʿ and Abū Saʿīd,2,
The name Abū Saʿīd,2,
the late Abū Saʿīd,2,
Letter mentioning Abu Sa’id,2,
... Tawfīq Ibn Saʿīd,2,
). Abū l-Faḍā'il,2,
his son Abu l-Fada'il,2,
same as Abū l-Faḍā'il,2,
and how Abū l-Faḍā'il,2,
Recto: Abū l-Faḍā'il,2,
. Mentions Abū l-Faḍā'il,2,
Barhun (b. Musa,2,
?] b. Musa,2,
...] b. Musa,2,
David) b. Musa,2,
keeping (Abū l-Ṭayyib al-Naḥḥāl,2,
in which Abū l-Majd,2,
...] Abū l-Majd,2,
is named Abū l-Majd,2,
Abū l-Majd,2,
Fustat. Abū l-Majd,2,
"."" Abū l-Majd",2,
the cantor Abu l-Majd,2,
). Abu l-Majd,2,
"verso, Abu l-Majd",2,
Ghayth. Abū l-Majd,2,
The recipient Abu l-Majd,2,
his brother Abu l-Majd,2,
in which Abu l-Majd,2,
additionally congratulates Abu l-Majd,2,
He informs Abu l-Majd,2,
; rebukes Abu l-Majd,2,
but that Abu l-Majd,2,
receipt from Abū l-Majd,2,
silk that Abu l-Majd,2,
Hilal and Abu l-Majd,2,
they wish Abu l-Majd,2,
charity from Abū l-Majd,2,
. If Abū l-Majd,2,
Letter to Abū l-Majd,2,
probably to Abū l-Majd,2,
. Mentions Abū l-Majd,2,
letter from Abū l-Majd,2,
eg. Abū l-Majd,2,
his partner Abū Yaʿqūb,2,
concerning one Abu Ya'qub,2,
regards. Abu Ya'qub,2,
and to Abū Yaʿqūb,2,
"merchant, Abū Yaʿqūb",2,
letter mentioning Abū Yaʿqūb,2,
the teacher Abū Yaʿqūb,2,
document mentioning Abū Yaʿqūb,2,
cousin (bint khālatī,2,
and to Abū Zikrī Yehuda,2,
a certain Abu Zikri Yehuda,2,
known trader Abu Zikri Yehuda,2,
writer to Abu Zikri Yehuda,2,
letter to Abū l-Barakāt,2,
Shelomo (Abu l-Barakat,2,
is signed Abū l-Barakāt,2,
; to Abū l-Barakāt,2,
his cousin Abū l-Barakāt,2,
He begs Abū l-Barakāt,2,
to: Abū l-Barakāt,2,
The name Abū l-Barakāt,2,
. Mentions Abu l-Barakat,2,
together with Abū l-Barakāt,2,
writer greets Abū l-Barakāt,2,
Damietta and Abū l-Barakāt,2,
", and Abū l-Barakāt",2,
know if Abū l-Barakāt,2,
", that Abū l-Barakāt",2,
his son Abu l-Barakat,2,
Letter to Abū l-Barakāt,2,
named: Abū l-Barakāt,2,
complains that Abū l-Barakāt,2,
", to Abū l-Barakāt",2,
person named Abū l-Barakāt,2,
sent to Abū l-Barakāt,2,
His son Abū l-Barakāt,2,
document mentioning Abū l-Barakāt,2,
behalf of Abū l-Barakāt,2,
"fayj, Abū l-Barakāt",2,
letter to Abū Saʿīd Banyās,2,
...] Ibn Shaʿyā,2,
the name Ibn Shaʿyā,2,
"Mardūk, Abū Isḥāq Barhūn",2,
sent to Abū Isḥāq Barhūn,2,
Addressed to Abū Isḥāq Barhūn,2,
Surūr and Abū Iṣḥāq Barhūn,2,
", mentioning Abū Isḥāq Barhūn",2,
"Saʿīd, Abū Yaʿqūb Yūsuf",2,
addressed to Abu Isḥāq Ibrahīm,2,
Also mentions Abū Isḥāq Ibrāhīm,2,
arrived with Abū Ṣadaqah,2,
Arabic to Abū Manṣūr al-Ṣabbāgh,2,
Asʿad; Abū l-Ḥajjāj Yūsuf,2,
. Mentions Abū l-Ḥajjāj Yūsuf,2,
named: Abū l-Ṭāhir,2,
I am Abū l-Ṭāhir,2,
. Mnetions Abū l-Ṭāhir,2,
-ajall Abū l-Ṭāhir,2,
The name Abū l-Ṭāhir,2,
"Ḥasan, Abū l-Ṭāhir",2,
such as Abū l-Ṭāhir,2,
Khayr and Abū l-Ṭāhir,2,
Sar and Abū l-Ṭāhir,2,
"addressee, Abū l-Ṭāhir",2,
"Ṭāhir, Abū l-Baqā'",2,
"sons, Abū l-Baqā'",2,
probably named Abū l-Baqā',2,
or perhaps Abū l-Baqā',2,
Bayān and Abū l-Baqā',2,
century. Abū Manṣūr Tustarī,2,
"Khayr, Abū Ghālib",2,
bt. Abū Ghālib,2,
", and Abū ʿImrān",2,
or relative Abū ʿImrān,2,
son; Abu 'Imran,2,
met with Abū ʿImrān,2,
scribe (Abū ʿImrān,2,
' and Abū ʿImrān,2,
", mentioning Abū ʿImrān",2,
letter to Abū ʿImrān,2,
"Baba, Abū ʿImrān",2,
referring to Abū ʿImrān,2,
the names Abū ʿImrān,2,
?) Abū ʿImrān,2,
known as Abū ʿImrān,2,
). Abū ʿImrān,2,
ʿAzrūn; Abū ʿImrān,2,
the nephew Abu ‘Imran,2,
to help Abū ʿImrān,2,
. But Abū ʿImrān,2,
Surrī to Abū ʿImrān,2,
such as Abū ʿImrān,2,
"uncle, Abū ʿImrān",2,
"Zakarīyā, Abū ʿImrān",2,
Nasab and Abū ʿImrān,2,
"Afif, Ben Sahal",2,
"Hayyun, Ben Naʿim",2,
-Munā b. Ḥasan,2,
the perfumer b. Ḥasan,2,
Atā’ b. Ḥasan,2,
Yaʿaqov] Abū Shaʿrah,2,
from Yehuda b. Salama,2,
(of Ibn al-Jazzār,2,
your student Bū l-Majd,2,
Arabic from Bū l-Majd,2,
letter mentioning Bū l-Majd,2,
letter from Bū l-Majd,2,
", mentioning Abū l-Futūh",2,
the teacher Abu l-Futuh,2,
", mentioning Abū l-Futūḥ",2,
letter; Abū l-Futūḥ,2,
Raṣṣāṣ and Abū l-Surūr Ibn al-Amshāṭī,2,
a certain Abū Turābī,2,
Yahudi to Umm al-Khayr,2,
Letter from Umm al-Khayr,2,
known as Ibn ʿAbduh,2,
Qānūn by Ibn al-Nafīs,2,
...] Abū Ḥabīb,2,
"ʿAydhāb, Abū l-Ḥusayn",2,
bt. Abu l-Husayn,2,
is afflicting Abū l-Ḥusayn,2,
possible that Abū l-Ḥusayn,2,
are named Abu l-Husayn,2,
The name Abū l-Ḥusayn,2,
ʿImrān and Abū l-Ḥusayn,2,
Avraham and Abu l-Husayn,2,
known as Abū l-Ḥusayn,2,
also mentions Abū l-Ḥusayn,2,
"Kohen, Abū l-Ḥusayn",2,
letter from Abū l-Ḥusayn,2,
mother of Abū l-Ḥusayn,2,
the teacher Abū Saʿd,2,
and visit Abū Saʿd,2,
Jamīʿ and Abū Saʿd,2,
", and Abū Saʿd",2,
's son Abū Saʿd,2,
"), Abū Saʿd",2,
and mentioning Abū Saʿd,2,
Surūr and Abū Saʿd,2,
his brother Abū Saʿd,2,
he and Abū Saʿd,2,
"Ṣāliḥ, Abū Saʿd",2,
and from Abū Saʿd,2,
). Abu Sa'd,2,
Torah by Abū Saʿd,2,
al-ʿAṭṭ[ā]r; Abū Saʿd,2,
document mentioning Abū Saʿd,2,
the name Abū Saʿd,2,
"Makārim, Abū Saʿd",2,
Masʿūd and Abū Saʿd,2,
a certain Abū Saʿd,2,
such as Abū Saʿd,2,
. Mentions Abū Saʿd,2,
the elder Abū Saʿd,2,
Refers to Abū Saʿd,2,
Muʿāfā and Abū Saʿd,2,
greetings to Abū Saʿd,2,
message to Abū Saʿd,2,
his son Abū Saʿd,2,
", involving Abū Saʿd",2,
. Involves Abū Saʿd,2,
the same Abū Naṣr,2,
Malījī and Abū Naṣr,2,
testament of Abū Naṣr,2,
Someone named Abū Naṣr,2,
"Mūsā, Abū Naṣr",2,
script of Abu Nasr,2,
sent by Abū Naṣr,2,
is asking Abu Nasr,2,
his brother Abu Nasr,2,
partnership and Abu Nasr,2,
him by Abu Nasr,2,
write to Abū Naṣr,2,
of Sheikh Abu Nasr,2,
addressed to Abu Nasr,2,
"elder, Abū Naṣr",2,
documenting that Abū Naṣr,2,
him approach Abū Naṣr,2,
Munajjā and Abū Naṣr,2,
wife of Abū Naṣr,2,
hand of Abū Naṣr,2,
"addition, Abu Nasr",2,
death of Abu Nasr,2,
a certain Abu Nasr,2,
his father Abū Naṣr,2,
among them Abu Nasr,2,
goods from Abu Nasr,2,
Barakat to Abu Nasr,2,
Abu Nasr,2,
's colleague Abu Nasr,2,
Letter from Abu Nasr,2,
belonging to Abū Naṣr,2,
", to Abu Nasr",2,
Fada'il; Abu Nasr,2,
his relative Abu Nasr,2,
", and Abū Naṣr",2,
Damsis to Abu Nasr,2,
"brother, Abu Nasr",2,
people including Abū Naṣr,2,
Kammūna and Abū Naṣr,2,
children; Abū Naṣr,2,
's son Abū Naṣr,2,
Letter mentioning Abū Naṣr,2,
", mentioning Abū Naṣr",2,
letter to Abū Naṣr,2,
; mentioning Abū Naṣr,2,
the name Abū Naṣr,2,
Muḥammad and Abū Naṣr,2,
the leader Abū Naṣr,2,
Elʿazar and Abū Naṣr,2,
such as Abū Naṣr,2,
"l-ʿAlā, Abū Naṣr",2,
] to Abū Naṣr,2,
Saʿīd and Abū Naṣr,2,
shoes for Abu Nasr,2,
go to Abū l-Khayr b. Khalfa,2,
him that Abū l-Surūr,2,
-shaykh Abū l-Surūr,2,
to be Abū l-Surūr,2,
He mentions Abu l-Surur,2,
and mentinoing Abū l-Surūr,2,
addressee is Abū l-Surūr,2,
as is Abū l-Surūr,2,
letter mentions Abū l-Surūr,2,
Letter from Abū l-Surūr,2,
and mentioning Abū l-Surūr,2,
"Nathan, Abū l-Surūr",2,
", and Abū l-Surūr",2,
office. Abū l-Surūr,2,
wishes and Abū l-Surūr,2,
dues. Abū l-Surūr,2,
. Mentions Abū l-Surūr,2,
). Abū l-Surūr,2,
"Maʿānī, Abū l-Surūr",2,
Shelomo and Abū l-Surūr,2,
Munajjā and Abū l-Surūr,2,
"Mūsā, Abū l-Surūr",2,
", including Abū l-Surūr",2,
written by Abū l-Surūr,2,
and to Abū l-Surūr,2,
Ḥasan and Abū l-Surūr,2,
sent by Abū l-Surūr,2,
Naʿīm and Abū l-Surūr,2,
"Ḥaver, Abū l-Surūr",2,
I am Abū l-Surūr,2,
"Faḍl, Abū l-Surūr",2,
"Lebdī, Abū l-Surūr",2,
payment for Abū l-Surūr,2,
"brother, Abū l-Faḍl",2,
"Isḥāq, Abū l-Faḍl",2,
. Mentions Abu l-Fadl,2,
his brother Abū l-Faḍl,2,
"Hasan, Abu l-Fadl",2,
be named Abū l-Faḍl,2,
. . Abū l-Faḍl,2,
the boy Abu l-Fadl,2,
Bayan and Abu l-Fadl,2,
same with Abu l-Fadl,2,
money. Abū l-Faḍl,2,
}) Abū l-Faḍl,2,
Fustat. Abū l-Faḍl,2,
their cousin Abū l-Faḍl,2,
) and Abu l-Fadl,2,
"Isaac, Abū l-Faḍl",2,
"Khalīf, Abū l-Faḍl",2,
"Ḥasan, Abū l-Faḍl",2,
shop of Abū l-Khayr b. Khalaf al-Ṣayrafī,2,
bt. Abu al-Faraj Yeshua,2,
", releases Abu Ishaq b. Abu al-Fakhr",2,
?) b. Shalem,2,
", to Ibn al-Amshāṭī",2,
Letter from Bū Maṣūr b. Abī Saʿd,2,
). Sitt al-Khayr,2,
addressed to Sitt al-Khayr,2,
mentioned include Ibn Zikri,2,
"Zikri, Ibn Rabi'",2,
"', Abu Sharif",2,
son of Abū Sharīf,2,
script to Abu Kathir,2,
's son Abū Kathīr,2,
form: Abu Kathir,2,
his son Abū Kathīr,2,
husband owed Abu Kathir,2,
may say Abū Kathīr,2,
"Arabic, Abū Kathīr",2,
write to Abū Kathīr,2,
Isḥāq from Abū Kathīr,2,
mentioned. Abū Kathīr,2,
longevity of Abu Kathir,2,
known as Abū Kathīr,2,
greetings to Abu Kathir,2,
wishes to Abu Kathir,2,
Legal. Abū l-Murajjā,2,
letter to Abū l-Murajjā,2,
1 (Abū l-Murajjā,2,
Abu ... Ibn Hibat,2,
Eliyyahu to Abū l-Bayān,2,
words. Abu l-Bayan,2,
departed. Abu l-Bayan,2,
sent from Abū l-Bayān,2,
the boy Abu l-Bayan,2,
Also mentions Abū l-Bayān,2,
...] Abū l-Bayān,2,
story of Abū l-Bayān,2,
...] b. Saadya,2,
from Yehuda b. Saadya,2,
Munajja Shelomo b. Saadya,2,
Information from Ben Outhwaite,2,
cards and Ben Outhwaite,2,
. (Ben Outhwaite,2,
. ʿAllūn b. Dā'ūd,2,
Yehuda and Sitt al-Ḥusn,2,
his wife Sitt al-Husn,2,
his daughter Sitt al-Husn,2,
Ḥalfon and Sitt al-Ḥusn,2,
", called Sitt al-Husn",2,
wishes to Sitt al-Husn,2,
bride is Sitt al-Ḥusn,2,
...] b. ha-Ḥazzān,2,
?] b. Halfon,2,
of Moshe b. Halfon,2,
) for Sitt al,2,
known as Ibn al-Rayyis al-Iskandarānī,2,
mother of Ibn Maṭrūḥ,2,
", mentioning Ibn Maṭrūḥ",2,
). Ibn Maymūn,2,
Zaken and Sitt al-Kiram,2,
divorced by Ibn al-Habbar,2,
...] b. Elazar ha-Kohen,2,
named are Abū l-Walīd,2,
"Dawla, Abū l-Walīd",2,
a certain Ibn al-Raqyan,2,
?] b. Shemuel ha-Haver,2,
Natan (b. Shemuel ha-Haver,2,
...] b. Yaʿaqov ha-Zaqen,2,
Zaqen; Abū l-Faḍl al-Zajjāj,2,
Zajjāj; Abū l-Faḍl b. Yefet ha-Zaqen,2,
his wife Sitt al-Kamal,2,
receipt of Sitt al-Kamal,2,
", called Sitt al-Kamal",2,
daughter; Sitt al-Ahl,2,
"), Sitt al-Ahl",2,
a bride Sitt al-Ahl,2,
testimony of Sitt al-Ahl,2,
", as Sitt al-Ahl",2,
her daughter Sitt al-Ahl,2,
"Faraj, Sitt al-Ahl",2,
"names, Sitt al-Ahl",2,
agree. Sitt al-Ahl,2,
Avraham betrothed Sitt al-Ahl,2,
clear that Sitt al-Ahl,2,
...] b. Qaṣāṣa,2,
mentioned are Ibn Qumaylah,2,
her husband Abu l-Fadail,2,
?] b. Binyamin,2,
Mahallah. Abu l-Fakhr ha-Kohen b. Halfon,2,
Faraj repudiates Sitt al-Nas bt,2,
Fustat. Abu Sa'd b. Abu 'Ali,2,
repudiates [Sitt al-]Jami',2,
", to Abu Sa'd b. Azhar",2,
"Dān, Abū Saʿd b. Azḥar",2,
regards to Abu Rida,2,
chief physician Abu Rida,2,
is between Abu l-Wafa,2,
l-'Ala and Sitt al-Thana,2,
dinar that Abu Sa'id Ya'qub b. Ibrahim,2,
sent with Abu Sa'id b. al-Sha''ab,2,
). Abū l-Fakhr,2,
’s son Abu l-Fakhr,2,
Peraḥya thanks Abū l-Fakhr,2,
. Only Abu l-Fakhr,2,
", to Abū l-Surūr Isḥāq b. Barhūn",2,
behalf of Abū Ibrāhīm,2,
Jacob and Abū Ibrahim,2,
Isma’il and Abu Ibrahim,2,
"Shabbat, Abu l-Yumn",2,
). Abū l-Yumn,2,
", and Abū Saʿīd b. Thabit",2,
", to Abū al-Faḍl Sahl b. Ḥasan b. Salāma al-Sukkarī",2,
addressee with Abū Zakariyā Yehuda b. Menashe,2,
their mother Sitt Rayhan,2,
documents was Sitt Rayḥān,2,
Eliyyahu and Sitt Rayḥān,2,
nobody except Sitt Rayḥān,2,
Dayyan to Sitt Rayhan,2,
mother (Sitt Rayḥān,2,
to a Sitt Rayhan,2,
the perfumer Abu l-Fakhr Se'adyah b. Avraham,2,
letter to Abu 'Ali Hasan b. Surur b. 'Eli,2,
to prompt Abū Yisḥāq,2,
Mūsā to Abū Yiṣḥaq,2,
bt. Abu Yiṣḥaq,2,
law Natan b. Shelomo,2,
of Yishai b. Shelomo,2,
?) b. Shelomo,2,
Ḥaver</em> b. Shelomo,2,
from Natan b. Shelomo,2,
from ʿEli b. Shelomo,2,
letter of Abū l-Ḥasan al-Ṣayrafī Dihqān,2,
letter as Sitt Wahb,2,
Ḥasan and Bint Abū,2,
to bring Sitt al-Dār,2,
the bride Sitt al-Dar,2,
name of Sitt al-Dār,2,
woman named Sitt al-Dar,2,
Efrayim represents Sitt al-Dar,2,
"wife, Sitt al-Dār",2,
name is Sitt al-Dār,2,
Yiju to Sitt al-Dar,2,
Yakhin and Sitt al-Dār,2,
her housekeeper Sitt al-Dar,2,
"hands, Sitt al-Dar",2,
stated that Sitt al-Dar,2,
deceased wife Sitt al-Dār,2,
his mother Sitt al-Dar,2,
) for Sitt al-Dar,2,
brother of Sitt al-Dar,2,
her daughter Sitt al-Dar,2,
bt. Abu l-Faraj al-Shamma,2,
widow of Abu Ya'qub Yusuf al-Bazzaz b. Munajja,2,
preserved: Abū ʿAlī al-Ḥusayn,2,
wife of Abū l-Riḍā,2,
name (Abū l-Riḍā,2,
Letter mentioning Abū l-Riḍā,2,
also mentions Abū l-Riḍā,2,
אלריס) Abū l-Riḍā,2,
their brother Abū l-Riḍā,2,
"Sahl, Abu l-Rida",2,
"Ibrāhīm, Abū l-Riḍā",2,
known as Ibn al-Sukkari,2,
Hārūn and Abū Saʿīd Khulayf b. Qays,2,
Tobias) b. Daniel,2,
...] b. Daniel,2,
his brother Abu l-Hajjaj,2,
the physician Abu Omar Joseph ben Kamnial,2,
?) b. Hayyim,2,
Kohen) b. Hayyim,2,
...] b. Ḥayyim,2,
known as Ibn al-Husayn,2,
beginning of Ibn Buṭlān's,2,
Parnas) Abū l-Najm,2,
that of Abū l-Najm,2,
the physician Abū l-Najm,2,
his son Abū l-Najm,2,
also lists Abū l-Najm,2,
"), Abū l-Najm",2,
note to Abū l-Najm,2,
", for Abū l-Najm",2,
the Rayyis Abū l-Najm,2,
's son Abu l-Najm,2,
", mentioning Abū l-Najm",2,
l-]Faḍl b. Abū l-Najm,2,
Letter mentioning Abū l-Najm,2,
the Rayyis Abu l-Najm,2,
behalf with Abū Ibrāhīm Ismāʿīl,2,
. Mentions Abū al-Aʿlāʾ al-Mubārak b. Isḥaq,2,
?) Sitt Ghazal,2,
understand why Sitt Ghazal,2,
woman named Sitt Ghazal,2,
wife (Sitt Ghazāl,2,
uncle of Sitt Ghazāl,2,
His daughter Sitt Ghazal,2,
his mother Sitt Ghazāl,2,
Shelomo that Sitt Ghazal,2,
his wife Sitt Ghazāl,2,
she received Sitt Ghazal's,2,
Barakāt and Sitt Ghazāl's,2,
charges against Sitt Ghazal’s,2,
Barakāt (Sitt Ghazāl’s,2,
...] b. Nahray,2,
Letter from Bu Nasr b. Ibrahim,2,
Kohen b. Abu Zikri Kohen,2,
Hasan to Abu Zikri Kohen,2,
Mahruz to Abu Zikri Kohen,2,
written by Abu Zikri Kohen,2,
hand of Abu Zikri Kohen,2,
Cheque by Abu Zikri Kohen,2,
Mahruz to abu Zikri Kohen,2,
taken by Abu Zikri Kohen,2,
An Abu Zikri Kohen,2,
Memorandum from Abu Zikri Kohen,2,
already asked Abū Zikrī Kohen,2,
to assist Abū Zikri Kohen,2,
b.Abu Zikri Kohen,2,
the elder Abū Zikrī Kohen,2,
Arabic from Abū Zikrī Kohen,2,
perfumers. Bu Nasr,2,
insisted that Bu Nasr,2,
delivery. Bu Nasr,2,
names (Bū Naṣr,2,
woman named Sitt al-Jami',2,
letter to Abū ʿImrān b. Yaḥyā al-Raqqī,2,
wife of Ibn Ghallāb,2,
Ghallāb; Sitt ʿAlam,2,
ʿAlam; Umm Faḍā'il,2,
writer and Abu al-Faraj Yaʿaqov b. Avraham,2,
b. Avraham Ibn Allan,2,
Yaʿaqov. b. Amram,2,
Me'ulle (b. Amram,2,
goods from Abu Naser,2,
", and Abū Manṣūr",2,
) from Abu Mansur,2,
Shemuel to Abū Manṣūr,2,
Ḥarīrī b. Abū Manṣūr,2,
the cantor Abū Manṣūr,2,
letter. Abu Mansur,2,
Ali and Abu Mansur,2,
money from Abu Mansur,2,
Arabic from Abu Mansur,2,
doctor from Abu Mansur,2,
also greet Abū Manṣūr,2,
Mukarram and Abu Mansur,2,
Dictated to Abū Manṣūr,2,
The scribe Abū Manṣūr,2,
Tobiah (Abu Mansur,2,
Saadya and Abu Mansur,2,
request by Abu Mansur,2,
cousin. Abu Manṣūr,2,
", possibly Abu Mansur",2,
relatives including Abū Manṣūr,2,
2) Abū Manṣūr,2,
", and Abu Mansur",2,
Surūr and Abū Manṣūr,2,
the Nagid Abu Mansur,2,
such as Abū Manṣūr,2,
to pay Abū Manṣūr,2,
"Mufaḍḍal, Abū Manṣūr",2,
"son, Abu Mansur",2,
the leader Abū Manṣūr,2,
and mentions Abū Manṣūr,2,
wealth: Abū Manṣūr,2,
Sulaymān b. Abū Manṣūr,2,
owed to Abū l-Maʿānī,2,
"Miṣrī, Abū l-Maʿānī",2,
son is Abū l-Maʿānī,2,
document. Abu al-Rida b. Abu Barakat II,2,
known as Ibn Yiju,2,
accounts of Ibn Yiju,2,
the deed Ibn Yijū,2,
suggest that Ibn Yijū,2,
copied by Ibn Yiju,2,
available space Ibn Yiju,2,
claims that Ibn Yiju,2,
help against Ibn Yiju,2,
sent by Ibn Yiju,2,
shipped by Ibn Yiju,2,
used by Ibn Yiju,2,
Yosef and Ibn Yiju,2,
thought that Ibn Yiju,2,
Mangalore and Ibn Yiju,2,
probably to Ibn Yijū,2,
?) b. Abī Razīn,2,
Zaqen and Sitt al-Gharb,2,
Yumn and Sitt al-Gharb,2,
and to Sitt al-Gharb,2,
"will, Abu al-Maali",2,
partnership between Abu Sahl Manasse b. Eli ha,2,
Menashshe. Abu Zikri Yehuda b.,2,
of what Abu Barakat,2,
"law, Abu Barakat",2,
Wasil and Abu Barakat,2,
Raqqī and Ibn Kātib al-ʿArab,2,
ear of Ibn Kātib al-ʿArab,2,
and involving Abū l-Waḥsh Sibāʿ.,2,
helpled by Abū l-Waḥsh Sibāʿ.,2,
"Yaʿaqov, Abū l-Surūr b. Natan",2,
(of Ibn Gabirol,2,
"poet, Ibn Gabirol",2,
Shorashim by Ibn Jannāḥ,2,
owe to Abū al-Maʿālī al-Tājir b. Abū al-Ḥasan al-Tājir,2,
b. Judah Ben Asad,2,
known as Ibn Asad,2,
already took Ibn Asad,2,
known as b. Ṭavnay,2,
-known Abū l-Faḍā'il Ḥayyim b. Ḥananel,2,
Levi and Sitt al-Ḥasan,2,
groom and Sitt al-Ḥasan,2,
. Mentions Sitt al-Ḥasan,2,
deceased daughter Sitt al-Hasan,2,
Kohen and Sitt al-Ḥasan,2,
Wuḥsha and Sitt al-Ḥasan,2,
Abraham and Sitt al-Ḥasan,2,
?) b. Yehuda,2,
which Natan b. Yehuda,2,
...] b. Yehuda,2,
", probably Sitt al-Mulk",2,
"Alexandria, Abu al-Khayr b. Hanun",2,
partners. Abu al-Kasim Abed al-Rahman,2,
and with Abu al-Kasim Abed al-Rahman,2,
Ṣabbāgh and Sitt al-Kuttāb b. Yefet,2,
in which Abū Isḥāq Abzārī,2,
the rayyis Abu al-Ala,2,
greetings to Abu al-Ala,2,
-rayyis Abu al-Ala,2,
Levi known Ibn al-Amʿaṭ,2,
"Saʿīd, abū l-Barakāt al-Ḥazzan",2,
", and Abū l-Makārim al-Levi",2,
"friend, Abū Zikrī b. Yosef",2,
Moshe to Abū al-Ḥajjāj Yūsuf Yehosef,2,
and mentions Sitt Abū l-Ḥusayn,2,
expenditure after Abū l-Najm Hilāl,2,
) to Abū l-Najm Hilāl,2,
's brother Abu l-Najm Hilal,2,
dictated by Abu l-Najm Hilal,2,
Kohen to Abū l-Ḥasan ʿAllān b. Yaʿīsh ha-Kohen,2,
Also mentions Abu al-Surur,2,
also mentions Abū al-Surūr,2,
his son Abu al-Surur,2,
later. Abu al-Surur,2,
ship of Abu Abdallah,2,
1148. Bu al-Ḥasan,2,
"settlement, Bu al-Ḥasan",2,
Sharabi and Bu al-Hasan,2,
sent to Sitt al-Ghazal,2,
his wife Sitt al-Ghazal,2,
"friend, Abu l-Faraj Hibatallah",2,
younger brother Abu l-Barakat Shelomo,2,
a wretched Abū l-Ḥasan b. Yūsuf,2,
Saʿd and Abū Surūr,2,
sent with Abū Surūr,2,
letter to Abu Surur,2,
regards to Abū Surūr,2,
Hebrew. Abū Surūr,2,
letter mentioning Abū Surūr,2,
written by Abū Surūr,2,
writer asks Ibn Awkal,2,
difficulties managing Ibn Awkal,2,
sent to Ibn Awkal,2,
letters that Ibn Awkal,2,
ships. Ibn Awkal,2,
seems that Ibn Awkal,2,
writer informs Ibn Awkal,2,
ordered by Ibn Awkal,2,
Damsis to Ibn Awkal,2,
back. Ibn Awkal,2,
known from Ibn Awkal,2,
"Sighmar, Ibn Awkal",2,
"physician, Abū l-Bahā'",2,
"', Abū l-Bahā'",2,
met with Abū l-Bahā',2,
"matter, Abū l-Bahā'",2,
) If Abū l-Bahā',2,
Muk[ā?]ram to Abū l-Bahā',2,
Ayyash to Abu Nasr b. Sahl,2,
time. Abu al-Barakat,2,
seems by Abu al-Barakat,2,
sent by Abu al-Barakat,2,
marriage. Abu al-Barakat,2,
Amr to Abu al-Barakat,2,
Purim and Abu al-Barakat,2,
"son, Abu al-Barakat",2,
route. Abu al-Barakat,2,
", to Abū Zikrī Yehuda b. Mūsā",2,
Nisaburi to Abu al-'Ala Sa'id b. Munajja,2,
Ja'fari to Abu al-'Ala Sa'id b. Munajja,2,
Mevorakh and Sitt al-Khāṣṣa,2,
Engagement of Sitt al-Khāṣa,2,
bt. Abū l-Barakāt al-Lebdī,2,
Alexandria by Abu al-Hasan b. Khulaif,2,
Khulaif to Abu Sa'id al-'Afsi,2,
court by Abū al-Baqā ha-Kohen,2,
son of Abū al-Ḥasan,2,
The name Abu al-Hasan,2,
a certain Abu al-Ḥasan,2,
greetings to Abu al-Hasan,2,
Yusuf and Abu al-Hasan,2,
sent to Abu al-hasan,2,
copy of Abu al-hasan,2,
"Avraham, Abu al-Hasan",2,
Ala ibn Abu al-Hasan,2,
A certain Abu al-Hasan,2,
"Naim, Abu al-Hasan",2,
the elder Abu al-Hasan,2,
Yosef to Abu al-Hasan,2,
a certain Abū al-Ḥasan,2,
Katib to Abu al-Hasan,2,
his brother Abu al-Hasan,2,
his son Abu al-Hasan,2,
note to Abu al-Hasan,2,
the same Abu al-Hasan,2,
given to Abu al-Hasan,2,
agreement between Abu al-Hasan,2,
is called Abu al-Hasan,2,
Tiban. Abu al-Hasan,2,
will of Abu al-Hasan,2,
mentioned are Abu al-Hasan,2,
Contract between Abu al-Hasan,2,
wife of Abu al-Hasan,2,
stop in Abu Qir,2,
depart from Abu Qir,2,
and friend Abū Zikrī Yaḥyā,2,
", including Abū Zikrī Yaḥyā",2,
owes to Abū Zikrī Yaḥyā,2,
business partner Abu Zikri Yahya,2,
money from Abū Zikrī Yaḥyā ha-Kohen,2,
his sister Sitt al-Riyasah,2,
given by Abu Mansur ha,2,
dropped by Sitt al-Hasab,2,
returned to Sitt al-Hasab,2,
in which Sitt al-Hasab,2,
ketubba for Sitt al-Ḥasab,2,
"sister, Sitt al-Hasab",2,
) of Abū Yūsuf Yaʿaqov b. David,2,
father ʿEli b. Avraham ha-Kohen,2,
] to Abū Saʿīd Makhlūf al-Ne'eman al-Nafūsī,2,
...] b. Shemuel,2,
